"AIOE_quint_wgt","share_unemp","<HS","BA","BA+","HS","someCol","men","women","mean_incwage"
1,6.53035089058862,19.2675619966188,8.69812949796312,1.85028847435882,45.1215263111297,25.0624937199296,70.1670269973448,29.8329730026552,30917.0224228007
2,4.86982122559212,12.7675716830355,12.2209551294731,2.461720601944,40.2322659660739,32.3174866194734,57.1577709926923,42.8422290073077,34437.3339947322
3,3.89862379886555,7.30379724570273,21.3024783225096,10.2153898434442,28.7317401256831,32.4465944626604,49.199460007401,50.800539992599,42578.6570733548
4,2.41358772158659,1.73086663752611,36.6723849530704,24.6841690238761,14.0074314941086,22.9051478914189,40.6447726323485,59.3552273676515,65304.9149220091
5,2.44702856957351,1.48302794384155,38.548473340433,29.2707343612437,11.8507086248719,18.8470557296099,49.7405820024779,50.2594179975221,82279.0595187783
